"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"BELOW","z",1.86664,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",33,3,NA,NA,NA,NA
"SHARK","slash",1.14137,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",13,1,"Identical",NA,NA,NA
"SMALL","z",1.086115,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SPIDER","z",1.134955,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",16,4,"Identical",NA,"12",NA
"THANKS","z",0.867005,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"COPY","z",0.78389,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WARM","slash",1.89967,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ARMS","z",0.835515,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ROCK","z",1.317335,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"MILK","z",2.283105,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",17,4,"Identical",NA,"13",NA
"DRESS","slash",1.933135,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TIGHT","slash",1.14814,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",24,3,NA,NA,"9",NA
"WINTER","slash",0.663395,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",9,4,"Identical",NA,NA,NA
"BUTTER","z",0.950315,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",12,4,NA,NA,NA,NA
"FIRST","slash",0.883775,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",37,4,NA,NA,"5","15"
"PENNY","slash",2.15096,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STAMP","slash",1.29567,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SCISSORS","slash",1.05189,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"JUMP","slash",1.416235,"EB",2,"2020-07-11_14h41.28.872","DelayedExp","2020.1.3",60,"Studied",19,3,NA,NA,"17","53"
