"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"FIRST","slash",0.71851,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",6,1,NA,NA,NA,NA
"STREAM","slash",0.78475,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",31,3,"Identical",NA,NA,NA
"TEETH","slash",0.651525,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",35,2,NA,NA,NA,NA
"PURPOSE","z",0.651915,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TOOL","z",0.50609,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"STREET","z",0.84898,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"PENNY","z",0.333275,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SHEETS","z",0.93433,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",39,3,NA,NA,NA,NA
"GROSS","z",0.466175,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",22,3,NA,NA,NA,NA
"SPIT","z",0.266915,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PLANE ","slash",0.584845,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WHERE","slash",0.583275,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",7,2,NA,NA,"11",NA
"NIGHTS","z",0.637585,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PURPLE","z",0.70107,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",29,1,NA,NA,NA,NA
"FIND","z",0.532535,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"EGGS","z",0.402355,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",10,3,NA,NA,NA,NA
"WEIGHT","z",0.582225,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",25,3,NA,NA,NA,NA
"BRIDE","z",0.483655,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",34,4,NA,NA,NA,NA
"DEAF","z",0.69771,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",30,4,NA,NA,NA,NA
"BEHIND","z",0.586175,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",21,2,NA,NA,NA,NA
"BELL","z",0.4702,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"KIDNAP","slash",1.08385,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",1,1,NA,NA,NA,NA
"NINE","z",0.666385,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CLOWN","z",0.668435,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"YOURS","z",0.56629,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",25,2,NA,NA,NA,NA
"SLEEP","slash",0.65218,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"STARS","z",0.815955,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TOES","z",0.599315,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",13,1,NA,NA,"2",NA
"BABY","z",0.54755,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"FOOD","z",0.447065,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CLIMB","slash",0.71804,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"REPEAT","z",1.16638,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SING","z",0.63535,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PROBLEM","z",0.63716,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"READ","slash",1.1326,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",2,1,NA,NA,"1",NA
"CRACKER","z",0.469625,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",11,3,NA,NA,NA,NA
"TOCK","z",0.63557,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"QUART","z",0.500715,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",30,2,NA,NA,NA,NA
"NOISE","z",0.467015,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",16,4,NA,NA,NA,NA
"WAITER","z",1.13493,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",39,1,NA,NA,NA,NA
"UNCLEAR","z",1.217375,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MAYBE","z",0.70187,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"BOSS","z",0.466365,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WINTER","slash",0.585385,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",34,1,NA,NA,NA,NA
"WRITE","slash",0.751095,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"GRASS","z",0.601735,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",23,2,"Identical",NA,NA,NA
"LOSE","z",0.734575,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"THIRST","z",0.817175,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",40,1,"Identical",NA,NA,NA
"MOTHER","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",12,1,"Identical",NA,NA,NA
"GUILT","slash",0.836475,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CANCER","z",0.614575,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",18,2,NA,NA,NA,NA
"THANKS","z",2.650735,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DRAW","z",0.436425,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SWAMP","slash",1.234955,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",40,4,NA,NA,NA,NA
"CLOCK","slash",0.64998,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",15,2,NA,NA,NA,NA
"NONE","z",0.51804,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
