Participant,Prime,Prime_Duration,rt,Response,Accuracy
KB,WIND,117.1,7997.375,WIND,1
KB,VODKA,116.525,8027.905,VODKA,1
AM,MIDLAND,116.42,4405.64,XXXXX,0
AM,LEND,116.64,3679.92,LEGEND,0
AM,CEASE,116.925,2052.35,XXXXX,0
AM,MORAL,116.11,1921.525,MORAL,1
AM,CHEER,116.945,1433.6,CHEER,1
AM,RESUME,116.325,1483.235,RESUME,1
AM,PULL,117.135,2150.515,XXXXX,0
AM,HOSTEL,116.415,1397.94,HOTEL,0
AM,ERUPT,116.23,1317.415,XXXXX,0
AM,SNAP,116.62,1224.545,SNAP,1
AM,MEET,116.925,1584.31,MEET,1
AM,VODKA,117.45,7584.99,VODKA,1
AM,CHEAT,116.585,3053.925,SHEET,0
AM,FLAK,115.735,1701.33,FAKE,0
AM,SPUNK,116.575,666.84,XXXXX,0
AM,UNEASY,116.33,2837.515,UNEASY,1
AM,PIAZZA,116.715,2101.145,PIZZA,0
AM,TRAITOR,116.89,3438.175,TRAINER,0
AM,MUZZLE,116.985,1815.24,MUSCLE,0
AM,SUIT,116.89,1150.28,SUIT,1
AM,WIND,116.785,1987.11,WINDOW,1
AM,TRIVIA,115.5,1350.39,TRIVIA,1
AM,FAUNA,116.745,3433.63,XXXXX,0
AM,KEEP,117.33,4500.44,KEEP,1
AM,REACTOR,116.53,1000.125,XXXXX,0
AM,PEEP,117.24,1917.19,PEEP,1
AM,SPAN,116.2,2333.065,SPAN,1
AM,STARK,115.675,1398.965,SPARK,0
AM,FREAK,116.97,1567.49,FREAK,1
AM,SPUN,116.23,1234.21,XXXXX,0
AM,DAMAGE,116.165,1783.705,DAMAGE,1
AM,CLAW,116.855,3883.195,CLAWS,1
AM,CORNER,116.36,1852.91,CORNER,1
AM,SHAVE,117.4,1301.955,SHAVE,1
AM,TOTALLY,117.085,2420.555,TOTAL,1
AM,OPTION,116.865,5497.755,OPTION,1
AM,EFFIGY,117.315,35.37,XXXXX,0
AM,FOREST,116.535,2800.42,FOREST,1
AM,VOID,115.86,1733.74,VOID,1
AM,LYNX,117.065,115.845,XXXXX,0
LT,MEET,116.525,518.62,XXXXX,0
LT,SHAVE,119.825,2277.19,SHAVE,1
LT,LYNX,116.585,1631.3,SHAVE,0
LT,SPAN,116.785,1900.42,SPAN,1
LT,CLAW,123.53,1717.085,CLAW,1
LT,FLAK,116.495,2317.255,FLAKE,1
LT,LEND,116.47,2937.145,LEND,1
LT,SUIT,116.76,1498.985,SUIT,1
LT,FOREST,116.9,1350.015,FOREST,1
LT,KEEP,136.42,2413.545,KEEP,1
LT,TRIVIA,116.49,416.535,XXXXX,0
LT,SNAP,117.17,1349.52,SNAP,1
LT,SPUNK,116.32,416.635,XXXXX,0
LT,CEASE,113.96,1287.015,CEAST,0
LT,FREAK,115.65,1699.475,FEAST,0
LT,VODKA,116.575,1350.085,VODKA,1
LT,REACTOR,117.055,367.75,XXXXX,0
LT,ERUPT,116.195,482.98,XXXXX,0
LT,EFFIGY,116.405,4696.105,FLINGY,0
LT,OPTION,117.485,1798.475,PORTION,0
LT,VOID,116.51,382.58,XXXXX,0
LT,HOSTEL,116.85,1063.68,HOTEL,0
LT,TRAITOR,116.28,431.485,XXXXX,0
LT,MIDLAND,116.755,1833.005,MIDLAND,1
LT,MORAL,120.27,1239.35,CORAL,0
LT,CHEER,116.245,3996.565,CHEESE,0
LT,PULL,117.005,1516.215,PULL,1
LT,TOTALLY,116.72,329.42,XXXXX,0
LT,RESUME,116.54,1833.45,RESUME,1
LT,PIAZZA,116.64,1732.935,PIZZA,0
LT,WIND,116.03,1202.115,WIND,1
LT,PEEP,116.595,1583.56,PEEP,1
LT,UNEASY,116.745,1483.185,UNCLEAR,0
LT,DAMAGE,116.55,1419.095,DAMAGE,1
LT,FAUNA,116.675,1049.34,TUNA,0
LT,CHEAT,116.59,1166.52,CHEAT,1
LT,MUZZLE,116.825,3783.505,MUZZLE,1
LT,STARK,116.59,1524.195,STEAK,0
LT,CORNER,116.675,958.415,XXXXX,0
LT,SPUN,116.745,1384.215,SPUN,1
AY,PULL,115.33,2166.18,PULL,1
AY,CEASE,116.52,2282.915,CEASE,1
AY,SNAP,116.84,1251.07,SNAP,1
AY,REACTOR,117.39,2149.005,REACT,1
AY,PEEP,116.305,1935.91,PEEP,1
AY,CORNER,116.76,1946.18,CORNER,1
AY,DAMAGE,117.23,1605.275,DAMAGE,1
AY,STARK,116.86,1601.25,STARK,1
AY,TRAITOR,117.995,1873.18,TRAITOR,1
AY,VODKA,116.3,1399.745,VODKA,1
AY,RESUME,116.015,1369.375,RESUME,1
AY,FOREST,115.855,1776.185,FOREST,1
AY,SPUN,115.64,1631.35,SPUN,1
AY,SPAN,116.215,588.71,XXXXX,0
AY,ERUPT,115.05,1534.64,ERRUPT,0
AY,FAUNA,116.19,1282.03,FAUNA,1
AY,FREAK,116.97,1752.46,FREAK,1
AY,SUIT,117.225,1189.205,SUIT,1
AY,VOID,116.36,1299.355,VOID,1
AY,PIAZZA,117.75,1630.88,PIZZA,0
AY,CHEAT,117.395,1334.45,CHEAT,1
AY,SHAVE,117.04,1322.265,SHAVE,1
AY,MUZZLE,118.025,1851.34,MUSCLE,0
AY,UNEASY,116.86,1871.105,UNEASY,1
AY,WIND,115.425,1175.61,WINDY,1
AY,MORAL,114.945,1183.61,MORAL,1
AY,HOSTEL,117.545,2203.92,HOSTEL,1
AY,MEET,117.995,1281.71,MEET,1
AY,CLAW,116.2,1083.37,CLAW,1
AY,TOTALLY,116.17,1726.395,TOTALLY,1
AY,OPTION,117.61,1933.445,OPINION,0
AY,SPUNK,115.48,1399.805,SPUNK,1
AY,LEND,115.75,1158.835,LEND,1
AY,LYNX,116.84,1557.63,LYNX,1
AY,TRIVIA,115.9,2717.43,TRIVIA,1
AY,EFFIGY,115.195,2545.225,EFFIGY,1
AY,KEEP,112.66,1662.15,KEEP,1
AY,CHEER,116.485,1282.04,CHEER,1
AY,MIDLAND,117.465,1516.425,MIDLAND,1
AY,FLAK,116.86,1291.75,FLAKE,1
JH,TOTALLY,116.535,1911.3,TOTALLY,1
JH,HOSTEL,115.895,1146.49,HOSTEL,1
JH,SNAP,116.43,2078.515,NAP,1
JH,FOREST,116.135,2692.67,FOREST,1
JH,KEEP,115.93,1324.935,KEEP,1
JH,LYNX,116.985,2260.43,LYNX,1
JH,LEND,116.65,897.56,LEND,1
JH,CHEAT,116.395,1246.655,CHEAT,1
JH,PEEP,116.215,897.05,PIE,0
JH,TRAITOR,116.115,2411.35,TRAITO,1
JH,CORNER,115.635,898.665,CORNER,1
JH,FLAK,116.39,682.3,LEAK,0
JH,SUIT,116.36,2145.895,SUIT,1
JH,MIDLAND,115.605,482.09,XXXXX,0
JH,CLAW,116.365,1046.64,CLAW,1
JH,CEASE,115.715,1146.315,CEASE,1
JH,WIND,116.185,881.255,WIND,1
JH,REACTOR,116.525,349.32,XXXXX,0
JH,CHEER,117.08,1063.725,CHEER,1
JH,PULL,116.55,1064.94,PULL,1
JH,DAMAGE,116.535,1778.855,DAMAGE,1
JH,MEET,115.56,880.97,MEET,1
JH,SPUNK,116.695,1546.075,SPUNK,1
JH,TRIVIA,116.57,1064.975,TRIVIA,1
JH,FAUNA,115.745,1046.99,FAUNA,1
JH,MUZZLE,116.515,1496.19,MUZZLE,1
JH,OPTION,115.61,1195.8,OPTION,1
JH,FREAK,117.75,1346.545,FREAK,1
JH,PIAZZA,116.295,315.205,XXXXX,0
JH,RESUME,116.225,1147.7,RESUME,1
JH,UNEASY,117.1,3142.995,UNEASY,1
JH,VODKA,116.09,931.87,VODKA,1
