participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1
AP,MEAN,1099.675,NA,NA,NA,Unrelated,38,Unrelated,MEAN,NA,NA
AP,WRITE,2218.94,Studied,18,2,Identical,29,Identical,WRITE,NA,NA
AP,POOL,4637.53,NA,NA,NA,NA,9,Unrelated,OFFICE,NA,NA
AP,WATER,3369.05,Studied,19,3,Identical,23,Related,MOAT,CASTLE,NA
AP,JUICE,2452.075,NA,NA,NA,NA,40,Identical,MILK,NA,NA
AP,FOOD,1036.68,Studied,32,4,NA,26,Unrelated,WAITER,NA,NA
AP,APPLE,969.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,CARRY,1553.26,Studied,9,3,NA,25,Related,HAUL,CARRY,HAUL
AP,MARRY,1136.495,Studied,37,1,Identical,6,Unrelated,WHERE,NA,NA
AP,MARRIED,1402.725,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,EE,8002.235,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,EEL,3135.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,DISAGREE,7266.205,Studied,11,1,Identical,12,Identical,DISAGREE,NA,NA
AP,REGRET,6685.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,ADULT,6299.705,NA,NA,NA,NA,19,Unrelated,LEARN,NA,NA
AP,L,8002.245,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,DEER,5833.165,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP,VIOLET,5148.83,NA,NA,NA,NA,20,Identical,VOTE,NA,NA
RK2,TREE,5418.18,Studied,36,2,NA,8,Related,MIGHT,MAYBE,NA
RK2,STREET,3743.725,Studied,28,2,NA,3,Unrelated,BUTTER,NA,NA
RK2,PEN,3704.59,NA,NA,NA,NA,7,Related,PLIERS,TOOL,NA
RK2,LETTUCE,2518,Studied,20,2,NA,6,Identical,STRANGE,NA,NA
RK2,STICKY,3142.51,Studied,26,2,NA,4,Unrelated,BALLET,NA,NA
RK2,HAIR,1263.245,Studied,24,2,NA,9,Identical,COLLECT,NA,NA
RK2,BOARD,6337.785,Studied,37,2,NA,7,Identical,PROBLEM,NA,NA
RK2,MUSIC,6205.54,NA,NA,NA,NA,5,Unrelated,CHAIN,NA,NA
RK2,MATH,1539.475,Studied,2,4,Identical,6,Related,SESSION,CLASS,NA
RK2,RESULT,4856.93,NA,NA,NA,NA,39,Unrelated,TEST,NA,NA
RK2,DOTKNOW,7989.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
RK2,CANTREMEMBER,3318.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,SCHOOL,3047.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,HORRIBLE,5402.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,PEN,1085.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,COLD,2746.215,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,PINK,1232.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,NINE,816.39,Studied,19,2,NA,31,Unrelated,BELOW,NA,NA
SF,CLASS,5316.57,Studied,15,1,NA,8,Related,TENSION,STRESS,NA
SF,STRESS,1431.245,Studied,39,1,NA,10,Unrelated,JAIL,NA,TENSION
SF,SCHOOL,7983.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,HATE,4220.845,Studied,39,4,NA,NA,NA,NA,NA,NA
SF,PENCIL,2164.56,Studied,5,2,NA,4,Identical,ITCH,NA,NA
SF,STRESS,8001.94,Studied,39,1,NA,10,Unrelated,JAIL,NA,TENSION
SF,EXTREME,8000.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,SLEEP,7997.275,Studied,21,2,Identical,38,Identical,SLEEP,NA,NA
KB,NAVY,8002.68,Studied,29,2,NA,17,Unrelated,DRESS,NA,NA
KB,PURPLE,7994.125,Studied,19,2,NA,16,Related,TUTU,BALLET,NA
KB,ANIMAL,8004.35,Studied,9,3,NA,29,Related,DIAL,PHONE,NA
KB,FOUND,8001.43,Studied,33,3,NA,"9,15",Unrelated,POTATO,NA,NA
KB,THROW,8001.785,Studied,30,3,NA,6,Identical,SPOON,NA,NA
KB,QUEEN,7995.945,Studied,31,3,NA,8,Related,GUYS,GIRLS,NA
KB,BELOW,7993.995,Studied,28,1,NA,"6,12",Unrelated,JEANS,NA,NA
KB,CLOSE,8001.22,Studied,10,3,NA,NA,NA,NA,NA,NA
KB,BEHIND,8026.85,Studied,40,3,NA,10,Related,AHEAD,BEHIND,AHEAD
KB,HORSE,8000.49,Studied,25,3,NA,"5,28",Unrelated,CARD,NA,NA
KB,INHALE,7994.67,Studied,10,2,NA,4,Identical,SEEK,NA,NA
KB,PILE,7992.21,NA,NA,NA,NA,13,Unrelated,UNCLEAR,NA,NA
KB,MOST,8002.67,Studied,2,2,NA,"15,30",Unrelated,GAME,NA,NA
KB,WINTER,7991.435,Studied,17,2,NA,13,Related,NOUN,VERB,NA
KB,SLOW,7995.885,Studied,11,2,NA,6,Unrelated,TREE,NA,NA
KB,SUGAR,7996.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
KB,TI,7996.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
KB,TIGER,7993.34,Studied,3,3,Identical,28,Identical,TIGER,NA,NA
KB,TENNIS,8001.01,Studied,24,2,Identical,20,Identical,TENNIS,NA,NA
KB,DRESS,7990.92,NA,NA,NA,Unrelated,18,Related,MORE,LESS,NA
KB,LEAVES,8011.95,Studied,35,3,NA,42,Related,RAKE,LEAVES,RAKE
AM,CHAIR,2449.685,Studied,6,3,NA,3,Related,INTAKE,OUTTAKE,NA
AM,SUN,2342.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM,YELLOW,1885.66,Studied,40,3,NA,34,Unrelated,ALLOW,NA,NA
AM,SHEETS,2218.05,Studied,2,3,NA,42,Identical,WHOLE,NA,NA
AM,SMOOTH,1500.275,Studied,1,3,NA,1,firstword,firstword,NA,NA
AM,FIRE,1832.615,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM,CRACKER,5198.775,Studied,9,3,NA,23,Related,ALTER,CHANGE,NA
AM,ROAD,1350.16,Studied,14,4,NA,"9,14",Related,CAMERA,PICTURE,NA
AM,MOUNTAIN,4850.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
LT,STONE,6998.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
LT,STORY,1472.88,Studied,28,2,NA,22,Identical,LENGTH,NA,TALE
LT,CHEESE,3883.49,Studied,35,2,NA,11,Unrelated,STRESS,NA,NA
LT,BEACH,3462.015,Studied,36,2,NA,2,Identical,MONEY,NA,NA
LT,CHAIRS,2100.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
LT,STAIRS,2002.025,Studied,14,2,NA,25,Identical,OUTTAKE,NA,NA
LT,JAIL,6556.485,Studied,34,2,NA,5,Unrelated,GUILT,NA,NA
LT,MOMENT,8000.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
LT,LAUGH,3332.395,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
LT,MILK,4754.08,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
LT,ENTER,4157.805,Studied,4,1,NA,NA,NA,NA,NA,EXIT
AY,SPOON,3531.715,Studied,5,4,NA,26,Unrelated,KNIFE,NA,NA
AY,TIGER,3216.69,Studied,16,4,NA,3,Unrelated,BUSH,NA,NA
AY,FUNNEL,5733.235,NA,NA,NA,NA,NA,NA,NA,NA,NA
AY,GATE,6648.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
AY,MEAN,2434.215,Studied,22,4,NA,7,Unrelated,NECK,NA,NA
AY,FLOWER,1165.985,Studied,23,1,NA,8,Identical,WEIGHT,NA,NA
JH,PENCIL,7996.675,Studied,4,1,NA,3,Related,MAIL,LETTER,NA
JH,LOSE,3027.2,Studied,16,2,NA,2,Identical,COLLECT,NA,NA
JH,ROCKK,7930.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,SHERIFF,2216.575,Studied,33,1,NA,6,Unrelated,QUEEN,NA,NA
JT,DOCTOR,1491.52,Studied,5,2,NA,4,Identical,CLASS,NA,NA
JT,CLIMB,1708.325,Studied,2,2,Identical,NA,NA,NA,NA,NA
JT,GUILT,3433.455,Studied,3,2,NA,3,Unrelated,WORK,NA,NA
JT,FAKE,2474.975,Studied,1,2,NA,2,Identical,RULE,NA,NA
JT,DEATH,2183.335,Studied,21,1,NA,12,Unrelated,TEETH,NA,NA
JT,CHILDREN,1867.2,NA,NA,NA,NA,11,Unrelated,MINUS,NA,NA
JT,POTATO,7008.105,Studied,40,1,NA,7,Related,PARDON,EXCUSE,NA
JT,KIND,3558.665,NA,NA,NA,NA,25,Related,SCHEME,PLAN,NA
JT,SLIDE,1003.255,Studied,20,1,NA,15,Unrelated,SHOVE,NA,NA
JT,VOTE,2441.41,Studied,1,1,NA,2,Unrelated,WHOLE,NA,NA
JT,EXACT,1399.955,Studied,2,1,NA,3,Unrelated,BEFORE,NA,NA
JT,SCISSORS,1374.865,Studied,3,1,NA,1,firstword,firstword,NA,NA
JT,SILVER,1316.745,Studied,12,1,NA,8,Related,HEDGE,BUSH,NA
JT,TOOL,899.835,Studied,10,1,Identical,21,Identical,TOOL,NA,NA
JT,FENCE,6958.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,PLAE,7994.465,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,PLANE,1315.94,NA,NA,NA,NA,5,Unrelated,SPOON,NA,NA
JT,RABBIT,5525.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,TOWN,2732.675,Studied,34,2,Identical,NA,NA,NA,NA,NA
